"assay_date"	"CEL.file"
2016-01-26	"GSM2083616_43_CD_scWAT.CEL"
2016-01-26	"GSM2083616_43_CD_scWAT.CEL"
2016-01-28	"GSM2083617_43_HFD_scWAT.CEL"
2016-01-28	"GSM2083617_43_HFD_scWAT.CEL"
2016-01-26	"GSM2083618_44_CD_scWAT.CEL"
2016-01-26	"GSM2083618_44_CD_scWAT.CEL"
2016-01-28	"GSM2083619_44_HFD_scWAT.CEL"
2016-01-28	"GSM2083619_44_HFD_scWAT.CEL"
2016-01-26	"GSM2083620_45_CD_scWAT.CEL"
2016-01-26	"GSM2083620_45_CD_scWAT.CEL"
2016-01-28	"GSM2083621_45_HFD_scWAT.CEL"
2016-01-28	"GSM2083621_45_HFD_scWAT.CEL"
2016-01-26	"GSM2083622_48_CD_scWAT.CEL"
2016-01-26	"GSM2083622_48_CD_scWAT.CEL"
2016-01-28	"GSM2083623_48_HFD_scWAT.CEL"
2016-01-28	"GSM2083623_48_HFD_scWAT.CEL"
2016-01-26	"GSM2083624_49_CD_scWAT.CEL"
2016-01-26	"GSM2083624_49_CD_scWAT.CEL"
2016-01-28	"GSM2083625_49_HFD_scWAT.CEL"
2016-01-28	"GSM2083625_49_HFD_scWAT.CEL"
2016-01-27	"GSM2083626_50_CD_scWAT.CEL"
2016-01-27	"GSM2083626_50_CD_scWAT.CEL"
2016-01-28	"GSM2083627_50_HFD_scWAT.CEL"
2016-01-28	"GSM2083627_50_HFD_scWAT.CEL"
2016-01-27	"GSM2083628_51_CD_scWAT.CEL"
2016-01-27	"GSM2083628_51_CD_scWAT.CEL"
2016-01-28	"GSM2083629_51_HFD_scWAT.CEL"
2016-01-28	"GSM2083629_51_HFD_scWAT.CEL"
2016-01-27	"GSM2083630_55_CD_scWAT.CEL"
2016-01-27	"GSM2083630_55_CD_scWAT.CEL"
2016-01-28	"GSM2083631_55_HFD_scWAT.CEL"
2016-01-28	"GSM2083631_55_HFD_scWAT.CEL"
2016-01-27	"GSM2083632_56_CD_scWAT.CEL"
2016-01-27	"GSM2083632_56_CD_scWAT.CEL"
2016-01-27	"GSM2083633_60_CD_scWAT.CEL"
2016-01-27	"GSM2083633_60_CD_scWAT.CEL"
2016-01-27	"GSM2083634_61_CD_scWAT.CEL"
2016-01-27	"GSM2083634_61_CD_scWAT.CEL"
2016-01-28	"GSM2083635_61_HFD_scWAT.CEL"
2016-01-28	"GSM2083635_61_HFD_scWAT.CEL"
2016-01-27	"GSM2083636_62_CD_scWAT.CEL"
2016-01-27	"GSM2083636_62_CD_scWAT.CEL"
2016-01-28	"GSM2083637_62_HFD_scWAT.CEL"
2016-01-28	"GSM2083637_62_HFD_scWAT.CEL"
2016-01-27	"GSM2083638_63_CD_scWAT.CEL"
2016-01-27	"GSM2083638_63_CD_scWAT.CEL"
2016-01-28	"GSM2083639_63_HFD_scWAT.CEL"
2016-01-28	"GSM2083639_63_HFD_scWAT.CEL"
2016-01-27	"GSM2083640_64_CD_scWAT.CEL"
2016-01-27	"GSM2083640_64_CD_scWAT.CEL"
2016-01-28	"GSM2083641_64_HFD_scWAT.CEL"
2016-01-28	"GSM2083641_64_HFD_scWAT.CEL"
2016-01-27	"GSM2083642_65_CD_scWAT.CEL"
2016-01-27	"GSM2083642_65_CD_scWAT.CEL"
2016-01-29	"GSM2083643_65_HFD_scWAT.CEL"
2016-01-29	"GSM2083643_65_HFD_scWAT.CEL"
2016-01-27	"GSM2083644_66_CD_scWAT.CEL"
2016-01-27	"GSM2083644_66_CD_scWAT.CEL"
2016-01-29	"GSM2083645_66_HFD_scWAT.CEL"
2016-01-29	"GSM2083645_66_HFD_scWAT.CEL"
2016-01-27	"GSM2083646_68_CD_scWAT.CEL"
2016-01-27	"GSM2083646_68_CD_scWAT.CEL"
2016-01-29	"GSM2083647_68_HFD_scWAT.CEL"
2016-01-29	"GSM2083647_68_HFD_scWAT.CEL"
2016-01-27	"GSM2083648_69_CD_scWAT.CEL"
2016-01-27	"GSM2083648_69_CD_scWAT.CEL"
2016-01-29	"GSM2083649_69_HFD_scWAT.CEL"
2016-01-29	"GSM2083649_69_HFD_scWAT.CEL"
2016-01-27	"GSM2083650_70_CD_scWAT.CEL"
