sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: tissue_sample_ID	characteristics: mean_extracted_RNA_concentration_before pooling	characteristics: mean_extracted_RNA_concentration_before pooling_unit	characteristics: mean_nanodrop_260_280_ratio_before_pooling	characteristics: mean_nanodrop_260_230_ratio_before_pooling	characteristics: assay_date	characteristics: notes	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD43_CD_scWAT	GSM2083616_43_CD_scWAT.CEL	BXD43-subcutaneous adipose tissue-CD	GSM2083616_43_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD43	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD43_CD_221,BXD43_CD_221,BXD43_CD_223,BXD43_CD_223,BXD43_CD_225,BXD43_CD_225	437.2	ng/ul	1.75333333333333	0.543333333333333	2016-01-26		GSM2083616	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD43 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083616/suppl/GSM2083616_43_CD_scWAT.CEL.gz
BXD43_HFD_scWAT	GSM2083617_43_HFD_scWAT.CEL	BXD43-subcutaneous adipose tissue-HFD	GSM2083617_43_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD43	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD43_HFD_228,BXD43_HFD_229,BXD43_HFD_230	453.4	ng/ul	1.73	0.7	2016-01-28		GSM2083617	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD43 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083617/suppl/GSM2083617_43_HFD_scWAT.CEL.gz
BXD44_CD_scWAT	GSM2083618_44_CD_scWAT.CEL	BXD44-subcutaneous adipose tissue-CD	GSM2083618_44_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD44	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD44_CD_174,BXD44_CD_173,BXD44_CD_172	302.633333333333	ng/ul	1.70666666666667	0.456666666666667	2016-01-26		GSM2083618	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD44 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083618/suppl/GSM2083618_44_CD_scWAT.CEL.gz
BXD44_HFD_scWAT	GSM2083619_44_HFD_scWAT.CEL	BXD44-subcutaneous adipose tissue-HFD	GSM2083619_44_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD44	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD44_HFD_179,BXD44_HFD_178,BXD44_HFD_177,BXD44_HFD_176	334.375	ng/ul	1.735	0.46	2016-01-28		GSM2083619	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD44 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083619/suppl/GSM2083619_44_HFD_scWAT.CEL.gz
BXD45_CD_scWAT	GSM2083620_45_CD_scWAT.CEL	BXD45-subcutaneous adipose tissue-CD	GSM2083620_45_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD45	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD45_CD_31,BXD45_CD_32,BXD45_CD_33,BXD45_CD_34,BXD45_CD_35	303.56	ng/ul	1.738	0.54	2016-01-26		GSM2083620	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD45 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083620/suppl/GSM2083620_45_CD_scWAT.CEL.gz
BXD45_HFD_scWAT	GSM2083621_45_HFD_scWAT.CEL	BXD45-subcutaneous adipose tissue-HFD	GSM2083621_45_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD45	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD45_HFD_36,BXD45_HFD_37,BXD45_HFD_38,BXD45_HFD_40	351.85	ng/ul	1.7725	0.5375	2016-01-28		GSM2083621	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD45 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083621/suppl/GSM2083621_45_HFD_scWAT.CEL.gz
BXD48_CD_scWAT	GSM2083622_48_CD_scWAT.CEL	BXD48-subcutaneous adipose tissue-CD	GSM2083622_48_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD48	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD48_CD_291,BXD48_CD_292,BXD48_CD_293,BXD48_CD_294,BXD48_CD_295	255.5	ng/ul	1.692	0.754	2016-01-26		GSM2083622	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD48 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083622/suppl/GSM2083622_48_CD_scWAT.CEL.gz
BXD48_HFD_scWAT	GSM2083623_48_HFD_scWAT.CEL	BXD48-subcutaneous adipose tissue-HFD	GSM2083623_48_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD48	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD48_HFD_296,BXD48_HFD_297,BXD48_HFD_298,BXD48_HFD_299,BXD48_HFD_300	302.26	ng/ul	1.71	0.646	2016-01-28		GSM2083623	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD48 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083623/suppl/GSM2083623_48_HFD_scWAT.CEL.gz
BXD49_CD_scWAT	GSM2083624_49_CD_scWAT.CEL	BXD49-subcutaneous adipose tissue-CD	GSM2083624_49_CD_scWAT.CEL.gz	subcutaneous adipose tissue, chow diet	Mus musculus	10090	BXD49	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD49_CD_304,BXD49_CD_301,BXD49_CD_302,BXD49_CD_303	411.925	ng/ul	1.7475	0.655	2016-01-26		GSM2083624	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD49 mice fed on chow diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083624/suppl/GSM2083624_49_CD_scWAT.CEL.gz
BXD49_HFD_scWAT	GSM2083625_49_HFD_scWAT.CEL	BXD49-subcutaneous adipose tissue-HFD	GSM2083625_49_HFD_scWAT.CEL.gz	subcutaneous adipose tissue, high fat diet	Mus musculus	10090	BXD49	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	subcutaneous adipose tissue	http://purl.obolibrary.org/obo/MA_0000473	BXD49_HFD_307,BXD49_HFD_308,BXD49_HFD_309	386.866666666667	ng/ul	1.8	0.666666666666667	2016-01-28		GSM2083625	GPL20258	total RNA	biotin	Gene expression data from pooled RNA extract of subcutaneous adipose tissue samples collected on 29 weeks old male BXD49 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Transcriptome Array 1.0	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2083nnn/GSM2083625/suppl/GSM2083625_49_HFD_scWAT.CEL.gz
